name,address,Latitude,Longitude,area,people
미래,"강원 평창군 진부면 간평길 79-28",37.6742,128.586,11330,98
강릉,"강원 강릉시 연곡면 동해대로 4100-28",37.8495,128.844,6879,56
매지,"강원 원주시 흥업면 북원로 1476-9",37.2815,127.911,9549,56
나래,"강원 홍천군 홍천읍 홍천로 753",37.7127,127.916,9270,56
신진,"강원 횡성군 횡성읍 입석로 114",37.4812,127.991,0,84
충북,"충북 청주시 상당구 사천로18번길 34, (사천동)",36.6787,127.481,10177,182
청주,"충북 청주시 흥덕구 죽천로79번길 4, (복대동)",36.6382,127.432,7528,196
금성,"충북 청주시 서원구 구룡산로 228, (산남동)",36.6149,127.47,12233,240
보은,"충북 보은군 수한면 정자말길 54-1, (사무소)",36.4804,127.686,8034,56
진천,"충북 진천군 진천읍 문화6길 41-1, (진천자동차운전면허학원)",36.8638,127.435,14728,144
음성한일,"충북 음성군 음성읍 중리길 42",36.9282,127.677,12474,132
조양,"충북 충주시 샘골길 26, (안림동, 조양자동차운전학원)",36.9675,127.95,19690,247
중앙,"충북 충주시 대소원면 완오신촌길 12",36.9662,127.851,11557,154
제천,"충북 제천시 강저로15길 14, (강제동)",37.1225,128.195,21629,182
(주)제천현대,"충북 제천시 내토로 959, (고암동)",37.1711,128.216,9564,70
단양,"충북 단양군 매포읍 안동길 77, (단양자동차학원)",37.0317,128.315,9372,128
옥천,"충북 옥천군 군서면 성왕로 854, (현대운전전문학원)",36.2988,127.541,8972,225
교원,"충북 청원군 강내면 석화사인길 109-5",36.6295,127.368,11485,448
상당,"충북 청주시 상당구 목련로 106-72 (운동동)",36.6086,127.527,9892,210
옥천동원,"충북 옥천군 군북면 옥천로 1074, (운전학원)",36.3326,127.53,14576,322
아주,"충북 청주시 서원구 남이면 양촌3길 13",36.5897,127.471,9995,154
대영,"충북 청원군 내수읍 구성길 17",36.6821,127.505,14576,648
(주)삼성,"충북 청주시 흥덕구 평동로 29, (향정동)",36.6538,127.425,6830,272
좋은,"충북 충주시 가금면 첨단산업로 1235",37.0691,127.865,8934,56
덕일,"충북 청원군 내수읍 은곡묵방길 22-27",36.7093,127.527,13275,108
반도,"충남 태안군 태안읍 서해로 2120",36.7585,126.339,9994,196
서산중앙,"충남 서산시 쌍연북3길 17, (동문동)",36.7854,126.468,9802,192
(주)당진,"충남 당진시 송악읍 광명길 27, (당진자동차운전전문학원)",36.8942,126.715,9143,196
(자)백제,"충남 부여군 부여읍 왕릉로 244-7",36.2721,126.96,18817,196
(주)건양,"충남 논산 은진 탑정로 332-22",36.1695,127.1,10510,192
천안,"충남 천안시 서북구 천안대로 962, (두정동, 천안자동차운전전문학원)",36.8277,127.154,21608,392
합덕,"충남 당진시 우강면 중방로 62-6",36.8176,126.763,11650,196
(주)서부,"충남 계룡시 엄사면 계백로 3080-10",36.2799,127.24,9740,200
제일,"충남 보령시 청소면 충서로 3660",36.431,126.588,12818,195
(유)서산,"충남 서산시 소탐1로 83, (수석동)",36.7582,126.494,17791,196
삼원,"충남 천안시 서북구 성거읍 석문길 10-3",36.8499,127.181,6817,195
(주)당진충남,"충남 당진시 원당로 141-10, (원당동)",36.9128,126.643,7982,196
(주)공주,"충남 공주시 소학길 17, (소학동)",36.4506,127.155,8324,192
(주)뉴보령현대,"충남 보령시 대해로 173, (내항동)",36.336,126.586,13554,192
예산,"충남 예산군 오가면 오신로 244",36.6962,126.786,10900,196
금산,"충남 금산군 금산읍 장자길 27, (금산자동차학원면허시험장)",36.0977,127.459,12808,196
장용,"충남 아산시 실옥로 196-7, (실옥동)",36.7966,126.981,16671,196
영일,"충남 천안시 서북구 성환읍 성환2로 8-15, (영일자동차학원)",36.9076,127.131,7470,126
우석,"충남 아산시 배방읍 배방로 194",36.7694,127.068,16841,368
서산현대,"충남 서산시 음암면 중앙로 734",36.7408,126.513,21136,192
중앙삼성,"충남 천안시 서북구 부대3길 7, (부대동, 중앙삼성자동차운전학원)",36.8444,127.155,6618,196
신홍성,"충남 홍성군 홍성읍 충서로1216번길 6-16",36.584,126.658,9717,196
보령동양,"충남 보령시 중앙로 187-66, (대천동)",36.3526,126.583,16165,390
(자)천안대성,"충남 천안시 동남구 풍세로 839, (용곡동, 대성자동차운전전문학원)",36.7845,127.144,10284,196
용화,"충남 아산시 시민로 215, (용화동, 용화자동차학원)",36.7687,126.993,8269,195
서해,"충남 서천군 종천면 종판로 62, (서해자동차운전학원)",36.1152,126.643,9934,196
(주)삼성,"충남 아산시 온천대로 1790-12, (남동)",36.7649,127.046,9413,192
신진,"전북 전주시 덕진구 추천로 201, (팔복동1가, 신진자동차운전학원)",35.8539,127.112,11330,56
한일,"전북 전주시 덕진구 비석날로 25, (여의동)",35.8535,127.077,7833,195
이리,"전북 익산시 익산대로33길 46-5, (신용동, 이리자동차학원)",35.9769,126.951,8377,84
(유)금강,"전북 군산시 공단대로 179, (수송동, 금강자동차학원)",35.9588,126.722,11513,224
군산,"전북 군산시 개사길 58-2, (개사동, 군산자동차학원)",35.9343,126.68,8079,128
정읍,"전북 정읍시 충정로 638, (용계동, 정읍자동차운전학원)",35.5871,126.819,9980,182
(유)남원,"전북 남원시 요천로 1798-6, (월락동, 남원자동차학원)",35.4229,127.409,18091,154
오성,"전북 군산시 개정면 아동북길 55",35.9796,126.77,9927,168
스마일,"전북 익산시 함열읍 용지길 17, (스마일자동차운전학원)",36.0399,126.952,15644,182
신삼천,"전북 전주시 완산구 우림로 1001, (삼천동2가, 금성자동차학원)",35.7851,127.101,14334,224
아시아,"전북 김제시 복죽로 538, (연정동, 아시아운전전문학원)",35.7994,126.864,14860,84
모양,"전북 고창군 아산면 봉덕길 4, (모양자동차전문학원)",35.4354,126.649,15547,126
동아,"전북 전주시 덕진구 추천로 209, (팔복동1가, 동아자동차운전전문학원)",35.8546,127.112,7249,180
벽성,"전북 김제시 백산면 옥석길 2 (벽성자동차학원)",35.8364,126.91,16044,84
구룡,"전북 정읍시 용북길 57-11, (구룡동, 구룡자동차학원)",35.5795,126.878,12384,96
길,"전북 익산시 신왕길 32, (석왕동, 길자동차운전학원)",35.9732,127.028,15718,182
(유)참길,"전북 부안군 부안읍 부령로 153-17, (참길자동차운전학원)",35.7354,126.758,12855,70
전북전주,"전북 전주시 덕진구 초포다리로 117-6, (호성동1가, 전북자동차운전전문학원)",35.8662,127.159,6723,56
전주,"전라북도 전주시 덕진구 한내로 21, (팔복동4가, 서신자동차운전전문학원)",35.8717,127.101,16290,84
(유)강남,"전북 익산시 부송로16길 40, (부송동, 주택)",35.9686,126.992,9412,104
동성,"전북 전주시 덕진구 장재길 4, (우아동3가, 동성자동차운전학원)",35.8468,127.166,9900,169
퍼스트,"전북 군산시 개정면 당산1길 20, (뉴퍼스트 운전학원)",35.9761,126.783,9912,96
우리,"전북 익산시 서동로46길 134-32, (석암동, 우리자동차운전학원)",35.9374,127.004,9725,96
가나안,"전북 익산시 무왕로 779-26, (현영동, 가나안자동차)",35.9621,126.941,13285,112
(유)남경,"전남 목포 옥암 20",34.8154,126.441,15290,364
무안,"전남 무안 망운 195",35.0158,126.393,8425,98
순천현대,"전남 순천 해룡 234-16",34.9222,127.41,21400,378
순천대우,"전남 순천 별량 대룡 1462",34.8859,127.395,9916,168
(주)영진,"전남 여수 만흥 231",34.7604,127.662,17539,140
담양아시아,"전남 담양 담양 운교 43",35.2251,126.985,9650,208
(유)강진,"전남 강진 성전 629-21",34.6915,126.708,12445,112
영광,"전남 영광 영광 3462",35.2772,126.512,13399,144
동성,"전남 여수 신월 496-12",34.7342,127.697,17868,98
고흥,"전남 고흥 고흥 남계리 56",34.6221,127.297,12185,150
여수아시아,"전남 여수 율촌 봉전 72-11",34.8079,127.537,15092,270
(유)상무,"전남 보성 벌교 210-27",34.8476,127.342,14664,260
쌍용,"전남 순천 조례 100",34.9506,127.487,16885,266
삼성,"전남 나주 산포 131",35.0343,126.806,8261,336
"화순 신세계","전남 화순 화순 65",35.0645,126.986,10224,224
(유)천관,"전남 장흥 장흥 3083",34.6817,126.907,13978,150
(유)호남,"전남 목포 연산 109번길39",34.8118,126.392,15971,238
목포,"전남 무안 청계 1743-27",34.915,126.43,9415,182
(주)동광양,"전남 광양 도이 89",34.9339,127.673,10569,168
새천년,"전남 나주시 왕곡면 덕산리 224-7",34.9668,126.697,9689,280
(주)여천,"전남 여수 소호 271",34.7604,127.662,14852,255
"영암 신세계","전남 영암 신북 23",34.8903,126.693,13859,344
나주,"전남 나주 다시 28",35.0167,126.641,9900,120
우양,"전남 담양 봉산 729",35.3211,126.988,7175,238
해남대흥,"전남 해남 북평 와룡 37",34.4241,126.658,17497,144
천일,"전남 곡성 곡성 277",35.282,127.292,11982,216
영주,"경북 영주시 필두길50번길 99, (상줄동)",36.8331,128.584,13038,168
경의,"경북 의성군 의성읍 북원3길 51-7",36.3615,128.698,7678,60
(김천)현대,"경북 김천시 시청로 114, (신음동, 김천현대자동차운전학원)",36.1387,128.118,14209,120
포항영남,"경북 포항시 북구 우창로 111, (우현동, 영남자동차학원)",36.0633,129.36,20133,216
천마,"경북 경주시 광중길 14, (용강동, 천마자동차운전전문학원)",35.8796,129.225,10678,255
(영천)현대,"경북 영천시 망정1길 80, (망정동)",35.9783,128.95,7890,192
대영,"경북 영주시 영봉로 35-15 (휴천동, 대영자동차운전학원)",36.819,128.641,11432,140
새한일,"경북 상주시 경상대로 2725, (가장동)",36.3765,128.142,9404,168
(경산)남부,"경북 경산시 중방로 124, (계양동, 경산남부자동차학원)",35.8325,128.747,8842,465
예천,"경북 예천군 예천읍 도효자로 62-15, (예천자동차전문학원)",36.6764,128.468,12957,64
(영천)성림,"경북 영천시 금호읍 금호로 338-40",35.9374,128.896,9106,512
봉화,"경북 봉화군 봉화읍 꽃동네길 18-6, (봉화자동차운전학원)",36.8897,128.734,9455,45
구미,"경북 구미시 고아읍 선산대로 468, (구미자동차운전학원)",36.1711,128.354,7343,144
안동새한,"경북 안동시 강남로 108, (수상동, 새한자동차운전학원)",36.5498,128.713,19466,351
경주,"경북 경주 안강 새안현로 1144",35.9686,129.137,11219,336
(주)진성,"경북 영덕군 영덕읍 남산길 22-6",36.4017,129.372,8056,28
하양,"경북 경산시 진량읍 금호강변로 860, (하양자동차운전학원)",35.9074,128.825,9208,160
쌍용,"경북 경산시 진량읍 대학로 1333, (쌍용자동차운전학원)",35.8979,128.823,10322,285
(김천)중앙,"경북 김천시 아포읍 송선로 140, (중앙자동차운전학원)",36.1475,128.286,13733,168
영강,"경북 문경시 산양면 과상2길 17, (영강자동차운전학원)",36.6346,128.274,11111,96
경주현대,"경북 경주시 현곡면 용담로 413-3, (경주현대자동차운전학원)",35.8806,129.183,13844,238
경주제일,"경북 경주시 천북면 산업로 4566-21, (경주제일자동차운전학원)",35.8844,129.236,16889,140
(영주)영남,"경북 영주시 조암로 89, (조암동, 영남자동차운전학원)",36.0633,129.36,9419,48
최신,"경북 구미시 고아읍 원대로9길 11, (최신자동차운전학원)",36.1685,128.32,9917,356
화성,"경북 안동시 앙실3길 19, (수하동, 화성자동차운전학원)",36.557,128.677,10213,96
(주)연화재,"경상북도 포항시 북구 흥해읍 새마을로 272-30",36.0496,129.332,9951,60
(청도)화양,"경북 청도군 화양읍 북문길 46, (화양자동차운전학원)",35.6523,128.705,8307,84
경산수성,"경북 경산시 임당로 106, (임당동, 수성자동차학원)",35.8498,128.744,13319,270
포항경북,"경북 포항시 남구 연일읍 연일로 143, (경북자동차운전학원)",35.9994,129.345,10499,228
영주제일,"경북 영주시 장수로 300, (문정동, 제일자동차운전학원)",36.7916,128.591,8259,112
(구미)인동,"경북 구미시 인동가산로 384-26, (구평동, 인동자동차운전학원)",36.0905,128.453,9927,228
(청송)문화,"경북 청송군 진보면 못안길 65",36.536,129.031,7808,48
(구미)남구미,"경북 구미시 오태1길 74, (오태동, 남구미자동차운전학원)",36.0786,128.355,8924,148
(칠곡)우리,"경북 칠곡군 북삼읍 경호천서길 72, (우리자동차운전학원)",36.0509,128.339,9181,105
(주)경포,"경북 포항시 남구 동해면 약전로115번길 69, (경포자동차운전학원)",35.9753,129.449,8233,80
(구미)공단,"경북 구미시 옥계2공단로 238, (구포동, 공단자동차운전학원)",36.126,128.416,12132,171
포항현대,"경북 포항시 남구 오천읍 철강로 862, (포항현대자동차운전학원)",35.9634,129.419,8730,105
왜관,"경북 칠곡군 약목면 무림4길 41, (왜관자동차운전학원)",36.023,128.383,11924,144
(울진)제일,"경북 울진 울진 연지 741-2",37.0005,129.414,8431,96
옥동현대,"경북 안동시 쉼텃길 62-9, (옥동, 옥동현대자동차운전학원)",36.5649,128.689,9445,96
(포항)흥해경북,"경북 포항시 북구 흥해읍 덕실마을길3번길 62, (흥해자동차운전학원)",36.1208,129.339,12745,108
함양,"경남 함양군 함양읍 함양남서로 996-11, (함양자동차학원)",35.5089,127.739,14578,165
창신,"경남 진주시 대신로196번길 20, (상평동, 창신자동차운전학원)",35.1772,128.12,8285,120
한려,"경남 통영시 광도면 남해안대로 1130-19",34.8935,128.418,8015,105
고성,"경남 고성군 고성읍 남해안대로 2305",34.9518,128.343,9709,70
삼천포,"경남 사천시 삼천포대교로 566 (좌룡동, 삼천포자동차학원(주))",34.9483,128.078,7917,140
거창,"경남 거창군 거창읍 죽전4길 119-22, (거창자동차운전학원)",35.6963,127.911,9093,112
밀양,"경남 밀양시 부북면 청운로 200",35.5145,128.716,13969,126
거창현대,"경남 거창군 거창읍 새동네2길 53",35.689,127.93,11087,96
거제,"경남 거제시 제산로2길 11, (양정동, 거제자동차운전학원)",34.8879,128.641,18507,336
남해,"경남 남해군 이동면 남해대로 1607, (남해자동차운전전문학원)",34.7702,127.952,9583,98
동창원,"경남 창원시 의창구 동읍 동읍로 234-1",35.296,128.674,14762,576
창녕,"경남 창녕군 창녕읍 탐하로 254, (창녕자동차전문학원)",35.5333,128.496,9982,70
도원성,"경남 진주시 남강로 155-26, (평거동, 도원성자동차운전학원)",35.1631,128.05,11131,168
서부경남,"경남 진주시 금곡면 정자천로15번길 15, (서부경남자동차운전전)",35.1379,128.171,10919,196
한일,"경남 김해시 분성로3번길 235-34, (내동, 한일자동차운전학원)",35.2477,128.863,12271,256
사천,"경남 사천시 용현면 공단4로 28-36, (사천자동차전문학원)",35.0499,128.046,14275,180
옥포,"경남 거제시 옥포대첩로 272-13 (덕포동)",34.9126,128.706,8745,108
밀양현대,"경남 밀양시 용평로 79 (용평동)",35.4937,128.776,9999,140
마창,"경남 창원시 의창구 팔용로 315, (반계동, 마창자동차운전학원)",35.2484,128.606,9997,594
풍원,"경남 양산시 용주로 21, (용당동, 풍원자동차학원)",35.4285,129.181,23288,112
하동,"경남 하동군 하동읍 화심길 116, (하동자동차운전전문학원)",35.0882,127.733,7875,135
한백,"경남 창원시 마산합포구 진동면 삼진의거대로 830, (한백자동차운전학원)",35.1281,128.501,26471,320
신세계,"경남 통영시 광도면 남해안대로 1160-60",34.8951,128.417,12670,154
국제,"경남 양산시 덕계북길 25, (덕계동, 국제자동차운전전문학원)",35.3829,129.157,12828,221
김해(2),"경남 김해시 김해대로 2569, (어방동, 김해자동차운전전문학원)",35.2289,128.909,9869,238
장유(2),"경남 김해시 주촌면 금관대로 751, (장유자동차운전전문학원)",35.2067,128.832,32016,608
창원,"경남 창원시 마산합포구 가포신항남로 43 (가포동)",35.1565,128.586,9850,270
남양산,"경남 양산시 동면 남양산2길 26, (남양산자동차운전전문학원)",35.3269,129.031,10444,180
부림,"경남 창원시 마산합포구 진북면 진북산업로 142 (부림자동차운전학원)",35.1288,128.487,12049,288
정오,"경남 진주시 대신로 642-34, (장재동, 정오자동차학원)",35.217,128.109,11040,182
부성,"경남 창원시 진해구 어은로 32 (죽곡동)",35.1137,128.728,8786,182
대성,"경남 양산시 상북면 양산대로 1266, (대성자동차학원)",35.3815,129.05,15805,132
제주,"제주자치도 제주 오등13길 38",33.4782,126.53,16325,192
제일,"제주 서귀포 상예 1728-1",33.2541,126.56,8898,140
삼다,"제주자치도 제주시 서회천길 88 (회천동)",33.485,126.629,7383,192
현대,"제주자치도 제주시 애월읍 평화로 2032-20",33.4033,126.385,10839,396
원영,"제주자치도 서귀포시 남원읍 태위로398번길 31",33.2725,126.69,11155,135
한라,"제주 제주 아라2 1320",33.5012,126.528,9003,252
탐라,"제주시 오라이동 1998-1",33.4896,126.509,8545,260
경일,"서귀포시 대정읍 암반수마농로21",33.2548,126.239,3244,120
